gene	32170378_EXO_S26	32161454_EXO_S20	32160526_EXO_S15	32152086_EXO_S7	32151130_EXO_S2	32151185_EXO_S4	32170440_EXO_S27	32152175_EXO_S9	32152337_EXO_S10	32151033_EXO_S1	32170273_EXO_S23	181023-190319_Brain_S29	32152088_EXO_S8	32151825_EXO_S6	32151151_EXO_S3	32170329_EXO_S24	32170337_EXO_S25	32160079_EXO_S13	32152347_EXO_S11	32160791_EXO_S16	32161000_EXO_S17	32160288_EXO_S14	32170032_EXO_S21	32170447_EXO_S28	32160018_EXO_S12	32170073_EXO_S22	32161249_EXO_S19	32151764_EXO_S5	32161037_EXO_S18
hsa-miR-6812-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	37.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	0.0	0.0	1.0
hsa-miR-642a-5p	0.0	0.0	0.0	0.0	19.0	0.0	28.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6766-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3911	0.0	0.0	0.0	0.0	0.0	7.0	38.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	29.0	1.0	0.0	17.0	0.0	0.0
hsa-miR-211-5p	1.5	1.5	0.0	1.0	0.5	19.5	54.0	5.5	3.5	0.0	6.0	127.0	5.0	3.5	78.5	13.0	43.0	1.5	2.0	0.0	5.0	45.0	3.5	23.5	0.0	4.5	3.0	3.5	0.0
hsa-miR-3059-3p	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	24.0
hsa-miR-6803-5p	0.0	46.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	63.0
hsa-miR-671-3p	0.0	31.0	0.0	0.0	0.0	59.0	32.0	0.0	0.0	26.0	51.0	1415.0	0.0	0.0	0.0	117.0	178.0	0.0	0.0	1.0	36.0	70.0	0.0	2.0	0.0	107.0	0.0	0.0	0.0
hsa-miR-92b-5p	0.0	0.0	16.0	0.0	80.0	0.0	109.0	56.0	41.0	0.0	0.0	329.0	0.0	0.0	76.0	64.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0	28.0	0.0	4.0	0.0
hsa-miR-6757-5p	0.0	0.0	0.0	0.0	0.0	0.0	61.0	38.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	21.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-107	217.67	102.0	0.0	0.0	22.33	11.67	160.67	6.33	124.33	1.33	51.67	3788.5	323.0	6.0	2.33	281.33	166.33	0.33	0.33	34.33	31.33	154.0	0.0	158.0	0.33	115.33	25.33	112.0	0.0
hsa-miR-4776-3p	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
hsa-miR-466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-24-2-5p	0.0	0.0	0.0	0.0	0.0	45.0	161.0	0.0	0.0	53.0	55.0	106.0	0.0	0.0	0.0	13.0	101.0	0.0	25.0	37.0	0.0	149.0	0.0	0.0	0.0	68.0	0.0	38.0	0.0
hsa-miR-5589-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6846-5p	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	22.0	19.0	0.0
hsa-let-7b-5p	48537.15	96926.25	3844.22	82218.7	101090.95	104404.2	236304.47	99637.6	166141.7	190634.67	144735.9	565715.29	157031.93	68294.0	203188.45	286380.65	391432.66	26341.2	18192.5	17033.15	111733.0	184329.02	24173.7	121624.7	11108.25	206974.58	118186.35	50104.9	1526.2
hsa-miR-3909	35.0	0.0	0.0	1.0	0.0	0.0	0.0	28.0	0.0	2.0	0.0	159.0	0.0	54.0	0.0	18.0	40.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0
hsa-miR-3908	48.0	0.0	16.0	0.0	42.0	35.0	4.0	0.0	89.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	1.0	76.0	18.0	16.0	0.0	32.0	70.0	6.0	9.0	42.0	49.0	0.0
hsa-miR-3907	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	38.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12.0
hsa-miR-939-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	14.0	2.0	18.0	20.0	0.0	0.0	0.0	18.0	0.0	0.0	16.0
hsa-miR-1273h-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-7161-3p	35.0	0.0	0.0	2.0	0.0	0.0	0.0	22.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6889-5p	80.0	10.0	56.0	37.0	195.0	29.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	25.0	17.0	0.0	0.0	37.0	15.0	0.0	0.0	0.0	0.0	27.0
hsa-miR-629-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0
hsa-miR-10399-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	27.0	0.0	41.0	0.0
hsa-miR-7152-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-2467-3p	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-664b-5p	0.0	0.0	0.0	0.0	6.0	27.0	19.0	1.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	43.0	13.0	0.0	0.0	0.0
hsa-miR-432-5p	0.0	63.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	19555.0	0.0	58.0	1.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	42.0	0.0	0.0	1.0	0.0
hsa-miR-1237-5p	0.0	0.0	0.0	0.0	0.0	15.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-3688-3p	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6790-5p	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
hsa-miR-135b-5p	151.0	756.0	0.0	760.0	493.33	61.0	1580.67	934.33	2723.67	68.0	1440.0	348.0	406.0	252.33	130.0	2041.0	1091.67	615.0	288.0	105.0	973.0	2719.33	28.0	297.33	251.0	1758.67	530.33	420.0	1.0
hsa-miR-7846-3p	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
hsa-miR-3679-5p	0.0	75.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	1.0	0.0	0.0	20.0	0.0	0.0	47.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-19a-3p	6.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.33	0.0	0.0	103.33	118.0	1.0	0.0	40.33	53.0	0.0	37.0	0.0	0.0	31.67	0.0	0.0	0.0	0.0	0.0	99.33	0.0
hsa-miR-642a-3p	0.0	0.0	13.0	0.0	0.0	38.0	0.0	0.0	148.0	112.5	0.0	255.5	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
hsa-miR-5194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0
hsa-miR-18b-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	50.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5193	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-520a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-5191	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5190	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6803-3p	0.0	0.0	0.0	0.0	30.0	0.0	42.0	0.0	0.0	0.0	0.0	100.0	0.0	101.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0
hsa-miR-3912-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-92b-3p	718.0	2480.0	47.0	1943.67	1195.0	662.0	3108.0	2508.33	5431.0	1108.0	4183.0	87593.33	2358.0	778.0	4381.33	2863.0	2540.33	554.0	478.0	251.0	1319.0	3191.0	357.0	1902.0	74.0	4520.33	2741.0	494.0	9.0
hsa-miR-4715-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0
hsa-miR-448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6748-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-27a-5p	25.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	15.0	41.0	60.0	0.0	0.0	61.0	48.0	0.0	0.0	0.0	0.0	5.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-9899	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-653-5p	39.0	30.0	33.0	0.0	75.0	22.0	95.0	4.0	0.0	60.0	39.0	0.0	0.0	0.0	202.0	66.0	45.0	50.0	0.0	0.0	53.0	426.0	0.0	107.0	0.0	21.0	51.0	0.0	0.0
hsa-let-7b-3p	191.0	247.0	3.0	157.0	93.0	108.0	648.0	271.0	297.0	41.0	414.0	5114.5	362.5	194.0	61.0	423.0	735.0	133.0	22.0	23.0	434.0	492.0	45.0	274.0	1.0	448.0	261.0	0.0	0.0
hsa-miR-1245b-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4804-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	1.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	38.0	0.0
hsa-miR-4758-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6837-5p	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0
hsa-miR-5186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
hsa-miR-1273h-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10399-3p	0.0	0.0	0.0	0.0	0.0	68.0	22.0	0.0	51.0	109.0	27.0	131.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-7152-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-664b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0
hsa-miR-1237-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-432-3p	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6790-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-135b-3p	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-423-5p	3142.0	7099.0	209.0	5003.0	4534.0	4034.0	12832.0	5307.0	11422.0	7599.0	11354.0	30486.0	8111.0	3686.0	8568.0	18342.0	18121.0	1623.0	1190.0	643.0	6448.0	11650.0	1112.0	8731.0	689.0	11286.0	6936.0	3112.0	76.0
hsa-miR-374b-5p	381.5	570.5	2.0	281.5	159.0	173.5	1317.5	310.0	577.0	48.0	700.0	12564.83	737.17	64.0	446.0	1936.0	4235.0	128.0	90.5	155.5	360.0	1343.0	109.0	578.5	70.0	725.5	388.0	192.0	32.0
hsa-miR-509-3-5p	0.0	0.0	0.0	0.0	36.0	0.0	23.0	22.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0
