gene	32160009_EXO_S30	32152260_EXO_S26	32152408_EXO_S29	32160078_EXO_S32	32150179_EXO_S2	32160080_EXO_S33	32150313_EXO_S5	32151181_EXO_S16	32151178_EXO_S15	32152087_EXO_S24	32151988_EXO_S22	32160019_EXO_S31	32152030_EXO_S23	32151021_EXO_S13	32150156_EXO_S1	32151970_EXO_S21	32151029_EXO_S14	32150829_EXO_S9	32150792_EXO_S8	181003-190524_Brain_S35	32151754_EXO_S20	32150309_EXO_S4	32160185_EXO_S34	32151018_EXO_S12	32151480_EXO_S17	32150697_EXO_S7	32152351_EXO_S28	32150318_EXO_S6	32152200_EXO_S25	32150274_EXO_S3	32151489_EXO_S18	32150882_EXO_S11	32151625_EXO_S19	32150835_EXO_S10	32152348_EXO_S27
hsa-miR-449b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
hsa-miR-6855-5p	0.0	0.0	0.0	0.0	0.0	12.0	26.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	1.0	1.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-361-3p	61.0	524.0	0.0	31.0	284.0	242.0	29.0	347.0	895.0	26.0	1225.0	249.0	105.0	436.0	172.0	197.0	1376.0	178.0	1081.0	11291.0	581.0	343.0	212.0	142.0	813.0	1205.0	395.0	351.0	314.0	2.0	578.0	197.0	681.0	234.0	516.0
hsa-miR-3622a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-484	115.0	293.0	1.0	14.0	179.0	337.0	68.0	280.0	505.0	54.0	901.0	236.0	18.0	245.0	118.0	35.0	856.0	107.0	714.0	4720.0	283.0	290.0	72.0	118.0	662.0	1087.0	151.0	232.0	260.0	53.0	488.0	267.0	566.0	72.0	445.0
hsa-miR-30b-3p	0.0	17.0	0.0	1.0	57.0	54.0	1.0	18.0	16.0	0.0	13.0	14.0	2.0	0.0	11.0	74.0	181.0	26.0	97.0	231.0	90.0	0.0	49.0	0.0	53.0	97.0	0.0	34.0	0.0	0.0	55.0	18.0	24.0	14.0	0.0
hsa-miR-3929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1301-3p	0.0	49.0	0.0	39.0	0.0	96.0	19.0	23.0	306.0	0.0	332.0	0.0	21.0	23.0	54.0	52.0	230.0	13.0	279.0	15487.0	1.0	56.0	27.0	40.0	75.0	184.0	0.0	48.0	168.0	0.0	172.0	44.0	57.0	32.0	171.0
hsa-miR-3926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	9.0	0.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-6715b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
hsa-miR-8485	0.0	0.0	5.0	13.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
hsa-miR-3923	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
hsa-miR-3921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-7161-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-629-5p	385.0	31.0	0.0	18.0	0.0	24.0	10.0	34.0	79.0	0.0	83.0	1.0	9.0	18.0	163.0	0.0	85.0	21.0	182.0	683.0	0.0	24.0	13.0	74.0	167.0	32.0	27.0	22.0	0.0	0.0	83.0	24.0	69.0	26.0	0.0
hsa-miR-2467-5p	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5006-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	26.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
hsa-miR-1298-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	617.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-493-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	122.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4520-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-548c-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3190-3p	0.0	0.0	0.0	0.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	24.0	0.0	1.0	0.0
hsa-miR-122-5p	1.0	98.0	0.0	1956.0	0.0	653.0	0.0	0.0	52.0	34.0	0.0	0.0	53.0	0.0	18.0	33.0	0.0	0.0	29.0	267.0	38.0	0.0	854.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6769b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0
hsa-miR-582-3p	1.0	0.0	0.0	0.0	0.0	17.0	0.0	33.0	45.0	26.0	58.0	4.0	1.0	12.0	27.0	57.0	55.0	0.0	12.0	945.0	0.0	24.0	1.0	0.0	74.0	42.0	0.0	10.0	0.0	8.0	69.0	68.0	31.0	0.0	24.0
hsa-miR-3918	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3917	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	1.0	0.0	0.0	0.0
hsa-miR-3916	230.0	0.0	0.0	0.0	0.0	0.0	17.0	36.0	0.0	0.0	0.0	0.0	67.0	7.0	26.0	0.0	0.0	21.0	0.0	0.0	0.0	56.0	0.0	40.0	69.0	14.0	1.0	14.0	1.0	31.0	16.0	0.0	38.0	0.0	0.0
hsa-miR-3914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-642a-5p	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	29.0	218.5	67.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-3p	0.0	0.0	4.0	7.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.5	0.0	0.0	0.0	13.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	15.0	13.0	1.0	0.0
hsa-miR-6766-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3911	0.0	0.0	0.0	0.0	0.0	0.0	18.0	10.0	3.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-211-5p	0.5	6.0	0.0	0.0	2.5	22.0	0.0	12.0	19.5	0.0	36.0	6.0	0.0	1.5	0.0	0.0	25.0	18.5	74.0	40.5	32.5	2.5	3.5	0.0	110.0	35.0	2.0	31.0	4.0	0.0	5.0	2.0	19.5	15.0	19.0
hsa-miR-3910	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4724-5p	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
hsa-miR-3059-3p	2.0	0.0	0.0	12.0	0.0	20.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	65.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
hsa-miR-6803-5p	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	36.0	2.0	13.0	0.0	4.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	20.0	0.0	44.0	1.0	41.0	0.0	52.0	26.0	37.0	0.0	29.0	0.0	25.0
hsa-miR-3912-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-3p	0.0	0.0	0.0	0.0	0.0	71.0	0.0	66.0	19.0	1.0	82.0	0.0	14.0	0.0	0.0	0.0	9.0	34.0	66.0	1482.0	130.0	30.0	0.0	47.0	43.0	36.0	0.0	8.0	20.0	0.0	24.0	0.0	182.0	0.0	56.0
hsa-miR-92b-5p	0.0	0.0	0.0	23.0	0.0	1.0	7.0	6.0	52.0	0.0	31.0	0.0	0.0	39.0	0.0	0.0	34.0	0.0	45.0	486.0	0.0	82.0	9.0	0.0	22.0	63.0	71.0	39.0	134.0	0.0	24.0	0.0	20.0	0.0	61.0
hsa-miR-6757-5p	139.0	0.0	0.0	35.0	0.0	0.0	0.0	20.0	1.0	1.0	16.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	16.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-107	19.0	115.0	0.0	0.0	0.33	38.0	6.0	47.0	108.67	13.0	95.33	42.33	8.33	90.67	15.67	11.0	72.67	28.67	135.33	5833.33	51.0	92.33	1.33	21.33	40.0	223.0	12.67	27.33	15.0	0.0	159.5	19.67	96.0	44.33	51.33
hsa-miR-4776-3p	0.0	0.0	17.0	0.0	0.0	35.0	34.0	0.0	0.0	0.0	0.0	27.0	0.0	63.0	13.0	28.0	22.0	14.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	17.0	0.0
hsa-miR-6855-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-24-2-5p	0.0	50.0	0.0	19.0	0.0	0.0	0.0	7.0	75.0	0.0	126.0	15.0	4.0	33.0	31.0	43.0	30.0	31.0	90.0	284.5	68.0	29.0	0.0	0.0	115.0	105.0	0.0	9.0	32.0	18.0	0.0	0.0	72.0	24.0	44.0
hsa-miR-6846-5p	0.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0
hsa-let-7b-5p	15412.15	90279.25	506.7	2435.35	115284.4	69333.53	13299.82	53220.08	167908.64	6540.17	141196.1	55724.2	4349.17	70198.58	26694.87	18420.5	257923.14	31067.25	253261.12	818033.41	112422.46	93186.77	18885.45	21664.97	178608.38	194523.57	53215.65	62917.78	60234.4	7379.2	66322.88	38389.13	179697.51	27667.0	109184.28
hsa-miR-3909	31.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	5.0	0.0	8.0	0.0	8.0	36.0	0.0	0.0	68.0	10.0	49.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	20.0	0.0	48.0
hsa-miR-3908	0.0	0.0	0.0	40.0	0.0	0.0	32.0	13.0	29.0	63.0	15.0	0.0	0.0	18.0	28.0	67.0	22.0	0.0	0.0	0.0	0.0	32.0	25.0	38.0	26.0	50.0	0.0	0.0	0.0	10.0	42.0	0.0	0.0	0.0	10.0
hsa-miR-3907	0.0	1.0	0.0	0.0	0.0	2.0	0.0	15.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-939-5p	0.0	32.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	35.0	10.0	0.0	20.0
hsa-miR-1273h-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-7161-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	33.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0
hsa-miR-6889-5p	0.0	25.0	0.0	0.0	52.0	0.0	1.0	5.0	0.0	54.0	0.0	0.0	9.0	0.0	24.0	0.0	0.0	73.0	0.0	0.0	1.0	9.0	17.0	0.0	0.0	0.0	2.0	8.0	25.0	7.0	0.0	0.0	0.0	11.0	1.0
hsa-miR-629-3p	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	53.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0
hsa-miR-10399-5p	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	24.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	29.0	36.0	0.0	0.0	0.0	0.0	8.0	65.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0
hsa-miR-7152-5p	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-2467-3p	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-664b-5p	0.0	0.0	0.0	0.0	0.0	8.0	0.0	14.0	34.0	19.0	0.0	0.0	0.0	0.0	11.0	0.0	52.0	0.0	0.0	80.0	0.0	38.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	39.0	0.0	11.0
hsa-miR-432-5p	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	14.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	21645.0	0.0	337.0	0.0	0.0	34.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	44.0	0.0	0.0
hsa-miR-1237-5p	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-3688-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6790-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
hsa-miR-135b-5p	0.0	359.0	0.0	0.0	371.0	289.0	68.0	478.0	1054.33	0.0	1112.33	425.0	42.33	370.67	129.0	61.0	1290.67	407.0	733.67	318.0	239.0	129.0	117.0	158.0	888.33	396.0	235.0	112.33	355.0	35.33	355.33	129.0	516.67	165.0	372.0
hsa-miR-7846-3p	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	7.0	0.0	12.0	54.0	0.0	1.0	54.0	0.0	0.0	0.0
hsa-miR-518b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-122-3p	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3679-5p	46.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	12.0	1.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	24.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	24.0
hsa-miR-19a-3p	0.0	0.0	0.0	0.0	0.0	34.33	17.0	13.33	79.0	0.0	19.33	0.0	0.0	19.0	5.0	25.0	115.33	0.0	70.33	92.0	31.0	13.0	0.0	0.0	0.0	22.0	0.33	0.0	0.0	0.0	20.0	54.0	0.33	0.0	0.0
hsa-miR-642a-3p	0.0	0.0	0.0	0.0	9.0	48.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	36.0	6.0	0.0	36.0	30.0	19.0	307.5	0.0	0.0	0.0	0.0	49.0	23.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	19.0
hsa-miR-211-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	6.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5194	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3155b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
